评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
葵花飘阳,在发出来的时候和我妈看了三遍汉文帝？,在发出来的时候和我妈看了三遍汉文帝,发出 三遍 汉文帝,0,该评论仅陈述了与母亲观看汉文帝内容的事实，未使用明显的情感词汇表达喜好或厌恶，属于客观描述个人行为，没有传达出明确的情感倾向。
momo,恋与深空你咋不早说,恋与深空你咋不早说,深空,-1,评论中“你咋不早说”带有明显的抱怨和不满情绪，暗示对信息延迟或未及时告知感到失望和指责，整体情感倾向为负面。
爱睡觉的猫117,好赞,好赞,好赞,1,评论中使用了“好赞”这一积极词汇，表达了对内容的强烈赞赏和喜爱，整体情感倾向明显为正面。
叫我小雨吧,哇塞 中啊中啊,哇塞 中啊中啊,哇塞,1,"评论中使用了""哇塞""这一感叹词表达惊喜和兴奋，""中啊中啊""是方言中表示赞同和肯定的表达，整体语气积极欢快，体现了对内容的认可和喜爱。"
momo,这不是 咱刚去过的,这不是 咱刚去过的,咱刚 去过,0,该评论仅陈述了一个事实性信息，提到“刚去过”的地点，没有使用明显的情感词汇或表达主观态度，整体语气平和，属于中性陈述。
新手白梦瑶,有呢 有绣球,有呢 有绣球,绣球,1,评论中使用了“有呢”和“有绣球”等表达，语气轻松且带有确认和分享的意味，暗示对绣球元素的存在感到满意或欣喜，整体情感倾向为正面。
彤tong,欢迎来洛阳玩,欢迎来洛阳玩,欢迎 洛阳,1,该评论使用了“欢迎”这一友好邀请词汇，表达了对他人来访的积极态度和热情好客的情感，整体情感倾向为正面。
卷耳,好玩好玩,好玩好玩,好玩 好玩,1,评论中重复使用“好玩”这一积极词汇，直接表达了对游戏或内容的喜爱和肯定，语气轻松愉快，整体情感倾向明显为正面。
醒醒啊熊熊姐,wkkk哥们儿别搞这样,wkkk哥们儿别搞这样,wkkk 哥们儿 别搞,-1,评论中的“别搞这样”带有明显的劝阻和不满情绪，使用“哥们儿”虽显亲近，但整体表达了对某种行为或情况的不认可，情感倾向为负面。
再丢东西我就是狗,哦那真是太巧了,哦那真是太巧了,真是 太巧,0,"该评论仅表达了对某种巧合的简单回应，使用了""太巧了""这一中性描述，没有明显的积极或消极情感词汇，整体情感倾向为中性。"
壹鸽仁,蛙趣,蛙趣,蛙趣,0,该评论仅使用网络感叹词“蛙趣”，通常表示惊讶或感叹，但未明确表达对具体事物的褒贬态度，缺乏具体情感指向，因此判断为中性。
风雨无晴,我草我草,我草我草,我草,-1,该评论使用了“我草”这一网络用语，通常表达惊讶、愤怒或不满的情绪，带有强烈的负面色彩，整体情感倾向为负面。
欢乐小耶,太会了,太会了,太会,1,该评论使用“太会了”这一网络流行语，通常用于表达对某人或某事的赞赏和钦佩，带有积极的情感色彩，整体情感倾向为正面。
SUN_山与,一起去洛阳旅游吧,一起去洛阳旅游吧,一起 洛阳 旅游,0,该评论仅陈述了“一起去洛阳旅游吧”的提议，未使用明显的情感词汇，也未表达明确的喜好或批评，属于中性陈述。
爷只有一、、阔爱,这就是我们的生活的呀 嘻嘻嘻嘻 开熏,这就是我们的生活的呀 嘻 开熏,生活 开熏,1,"评论中使用了""开熏""（开心的谐音）和""嘻""等轻松愉快的表达，整体语气活泼积极，体现了对生活状态的满意和愉悦情绪，情感倾向明显为正面。"
超级大黄狗,哇塞,哇塞,哇塞,1,"评论使用""哇塞""这一感叹词，通常表达惊喜、赞叹或兴奋的情绪，带有明显的积极情感色彩，整体情感倾向为正面。"
_SoryuAsuka_,震惊 来家门口了,震惊 来家门口了,震惊 家门口,1,评论中“震惊”表达惊喜，“来家门口了”体现亲近感和期待，整体传递出意外而积极的情绪，属于正面情感。
Noimpty,不管在哪的活动跟咱错过了,不管在哪的活动跟咱错过了,活动 错过,0,该评论仅陈述了活动与自身错过的事实，没有表达明显的喜爱、期待或不满情绪，属于客观描述，因此情感倾向为中性。
星瓷,非遗是好文明,非遗是好文明,遗是 文明,1,该评论使用了“好文明”这一网络流行语表达高度赞赏，直接肯定非物质文化遗产的价值，语言简洁但情感鲜明，整体传递出积极正面的支持态度。
村雨,黎深果果,黎深果果,黎深 果果,1,该评论使用“果果”这一亲昵称呼，表达了对角色黎深的喜爱和亲近感，整体情感倾向为正面。
蔗里糖七颗,欢迎大家来洛阳玩！！！,欢迎大家来洛阳玩,欢迎 大家 洛阳,1,该评论使用了“欢迎大家”这一热情友好的表达，主动邀请他人来洛阳游玩，传递出积极、开放的态度，整体情感倾向为正面。
c优,一直想去洛阳玩！感觉洛阳好美,一直想去洛阳玩 感觉洛阳好美,洛阳 洛阳 好美,1,评论中使用了“一直想去”、“好美”等积极词汇，表达了对洛阳的向往和赞美之情，整体情感倾向明显为正面。
林又迟,谁点的小广,谁点的小广,小广,0,该评论“谁点的小广”仅是对广告出现原因的询问，没有表达明显的积极或消极情绪，属于中性表达。
呵呵,你能给淼淼小森和我们道个歉吗,你能给淼淼小森和我们道个歉吗,小森 道个,-1,该评论使用了“道歉”这一带有指责和不满情绪的词汇，直接要求对方为特定对象（淼淼小森）和群体（我们）道歉，暗示了此前可能存在冒犯或错误行为，整体表达出明显的批评和负面情感倾向。
北冥,加一,加一,加一,0,该评论仅包含“加一”这一网络用语，通常用于表示赞同或附和前文观点，但本身没有明确的情感倾向表达，属于中性表态。
会唱歌的小星星,梁月！！曲娘！！啊啊啊，竟然带我们1999玩,梁月 曲娘 啊 竟然带我们玩,梁月 曲娘,1,评论中“竟然带我们玩”表达了惊喜和愉悦的情绪，使用“啊”等感叹词增强了积极情感，整体表现出对联动内容的欢迎和喜爱。
梅源啊没缘（大爱丽丝激推）,庄里人都出来吧→,庄里人都出来吧,庄里 出来,0,该评论只是号召特定群体（庄里人）出现，没有表达明显的积极或消极情绪，属于中性陈述，没有情感倾向。
作业和齐嘉豪总得炸一个吧,快来看你家9上榜了,快来看你家上榜了,来看 你家 上榜,0,该评论仅以陈述口吻提醒对方关注某个榜单，未使用明显的情感词汇，也未表达个人态度或评价，因此整体情感倾向为中性。
林又迟,更新一集,更新一集,更新 一集,0,该评论仅陈述“更新一集”这一事实，未使用任何带有明显情感倾向的词汇，也未表达个人喜好或评价，因此整体情感倾向为中性。
帅气公老鼠,稻米快出来，不然运气和吴邪一样！,稻米快出来 不然运气和吴邪一样,稻米 出来 运气 吴邪,0,该评论以调侃语气提及稻米（《盗墓笔记》粉丝）和角色吴邪，主要是在玩梗互动，没有明显的褒贬情感表达。虽然提到“运气和吴邪一样”可能隐含吴邪经历坎坷的设定，但整体更偏向中性提醒或玩笑性质。
不知道起什么名字好就随便起一个吧,感觉这个特好看，私截致歉,感觉这个特好看 私截致歉,好看 私截 致歉,1,评论中“特好看”表达了强烈的喜爱和赞赏，虽然“私截致歉”带有歉意，但整体情感基调是积极的，主要传达了正面的欣赏态度。
哇趣，蓝红你崛起吧！,傩戏和陈伶😄👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,傩戏和陈伶,傩戏 陈伶,0,该评论仅提及“傩戏和陈伶”两个名词，未附加任何情感色彩或评价性词汇，属于客观陈述，无明显正面或负面倾向。
^_Beautyの椿妤.,戏曲×云堇！！！,戏曲 云堇,戏曲 云堇,0,该评论仅提及“戏曲”和“云堇”两个名词，未附加任何情感色彩或评价性词汇，属于客观陈述，无明显正面或负面情绪倾向。
天真吴邪,是盗墓笔记！,是盗墓笔记,盗墓 笔记,0,该评论仅陈述了“是盗墓笔记”这一事实，没有使用任何带有情感倾向的词汇，也没有表达个人喜好或评价，因此整体情感倾向为中性。
ch.F,好看,好看,好看,1,评论中使用了“好看”这一明确表达喜爱和赞赏的积极词汇，直接传达了对内容或事物的肯定态度，整体情感倾向为正面。
阳春花蔓,涂山苏苏,涂山苏苏,涂山 苏苏,0,该评论仅提及角色名称“涂山苏苏”，未包含任何表达情感倾向的词汇或评价性语句，属于单纯的事实陈述，因此情感倾向为中性。
心心,吴邪,吴邪,吴邪,0,该评论仅提及角色名称“吴邪”，未包含任何情感色彩词汇或评价性表达，无法推断出明确的情感倾向，因此属于中性评论。
风语,非遗挺震撼的是不是,非遗挺震撼的是不是,遗挺 震撼 是不是,1,该评论使用了“震撼”这一强烈积极的词汇，表达了对非遗内容的惊叹和赞赏，整体情感倾向明显为正面。
人类,好好好一眼全是熟人,好一眼全是熟人,一眼 全是 熟人,1,评论中“好一眼全是熟人”表达了看到熟悉角色的惊喜和亲切感，使用“好”作为感叹词增强了积极情绪，整体传递出对内容中熟悉元素的喜爱和满意。
济安（不要贴脸！想上梁山版）,他们散发着自己的光彩，而不是需要靠所谓的二次元结合获得流量,他们散发着自己的光彩 而不是需要靠所谓的二次元结合获得流量,散发 光彩 需要 所谓 二次元 结合 获得 流量,1,评论通过“散发着自己的光彩”表达了对主体独立价值的肯定，同时以“而不是需要靠所谓的二次元结合获得流量”强调了其不依赖外部流量的自主性，整体措辞积极，体现了赞赏和支持的态度。
执言,我们9991含量超标,我们含量超标,含量 超标,1,该评论使用了“含量超标”这一网络流行语，通常用于表达对某事物喜爱程度极高或内容非常丰富，带有夸张的正面赞美意味，整体情感倾向为正面。
玄酒,吴邪！！！,吴邪,吴邪,0,该评论仅提及角色名称“吴邪”，未表达任何情感色彩或评价性内容，属于中性陈述，无法判断具体情感倾向。
啊啊啊,我们小花的花鼓戏呢？,我们小花的花鼓戏呢,小花 花鼓戏,-1,评论以反问语气表达了对“花鼓戏”缺失的不满，隐含了对内容或安排不完整的失望情绪，整体情感倾向为负面。
鹿桉.,老师，关注你很久了，从去年到现在，之前有要过to签，但忘记说cn啦，可以在要一次嘛,老师 关注你很久了 从去年到现在 之前有要过to签 但忘记说cn啦 可以在要一次嘛,老师 关注 去年 现在 之前 有要 to 忘记 cn 一次,1,评论中使用了“关注你很久了”和礼貌请求“可以在要一次嘛”，表达了对老师的持续喜爱和尊重，整体语气积极且带有期待，情感倾向为正面。
日漏林隙,有创意！爱死啦,有创意 爱死啦,创意 爱死,1,评论中使用了“有创意”和“爱死啦”等强烈积极的词汇，直接表达了对内容的喜爱和高度赞赏，情感倾向非常明显为正面。
🐰🐺🐭,庄里人别躲了，快出来一起躺,庄里人别躲了 快出来一起躺,庄里 人别 出来 一起,1,该评论使用了“别躲了”、“快出来一起躺”等邀请性、互动性强的表达，带有亲切和鼓励的意味，营造了轻松友好的氛围，整体情感倾向为正面。
鬼灭.璃🍦,老师可以试一下瓷✘剪纸吗？就是2.5次元那个，老师如果不知道可以上网上搜一下ch,老师可以试一下瓷 剪纸吗 就是 次元那个 老师如果不知道可以上网上搜一下ch,老师 试一下 剪纸 次元 老师 知道 网上 ch,0,该评论以建议和询问为主，使用“可以试一下”等中性表达，未包含明显的情感词汇，旨在提供信息或寻求可能性，整体情感倾向为中性。
DM.齐丧,呀~小邪~,呀 小邪,小邪,0,该评论仅提及“小邪”这一称呼，未包含明确的情感表达词汇或态度倾向，无法判断其正面或负面情绪，因此归类为中性。
淇则有岸,天官赐福,天官赐福,天官赐福,0,该评论仅提及作品名称“天官赐福”，未包含任何表达个人态度或情感倾向的词汇，属于客观陈述，因此情感倾向为中性。
辛福,京剧猫yy ds,京剧猫yy ds,京剧 yy ds,1,该评论使用了网络用语“yy ds”（永远的神），表达了对京剧猫的高度赞扬和喜爱，带有明显的积极情感倾向。
江七涵虞xin.,好嘉伙,好嘉伙,好嘉伙,1,"该评论使用了""好嘉伙""这一谐音表达，源自""好家伙""的变体，带有惊喜和赞赏的意味，通常用于表达对某人或某事的积极认可，整体情感倾向为正面。"
醉里挑灯看剑,盗墓笔记也可以呀戏神也可以啊解语花和陈伶，陈宴,盗墓笔记也可以呀戏神也可以啊解语花和陈伶 陈宴,盗墓 笔记 戏神 解语 陈伶 陈宴,1,评论列举了多个作品和角色名称，如“盗墓笔记”、“戏神”、“解语花”、“陈伶”、“陈宴”，并使用了“也可以呀”等表达，显示出对相关内容的熟悉和兴趣，整体情感倾向为正面，带有期待或推荐的意味。
浅梦.希,不是很喜欢这种非遗和二次元相融的，感觉有点不对味,不是很喜欢这种非遗和二次元相融的 感觉有点不对味,喜欢 非遗 二次元 相融 不对味,-1,评论中“不是很喜欢”、“感觉有点不对味”等表述，直接表达了用户对非遗与二次元融合方式的不认同和不适感，带有明显的负面评价倾向。
04.01,谁懂京剧猫冒出来的那一刻的救赎感！,谁懂京剧猫冒出来的那一刻的救赎感,京剧 冒出来 那一刻 救赎,1,评论中“救赎感”一词表达了强烈的积极情感，暗示京剧猫的出现带来了心灵上的慰藉与解脱。这种用词体现了用户对内容的深刻共鸣和高度赞赏，整体情感倾向明显为正面。
新星,这年头还会有人玩重返未来1999吗,这年头还会有人玩重返未来吗,这年头 还会 有人 重返 未来,-1,该评论使用了“这年头还会有人玩”的质疑语气，暗示游戏可能已过时或人气不足，带有明显的消极和怀疑态度，整体情感倾向为负面。
4.15_,天官赐福，百无禁忌！,天官赐福 百无禁忌,天官赐福 百无禁忌,0,该评论仅引用了“天官赐福 百无禁忌”这一传统祝福语，未附加个人情感表达或评价性词汇，属于客观引用或陈述，无明显积极或消极倾向。
鲸落南北,9!五！京剧猫！导轨一线！,五 京剧猫 导轨一线,京剧 导轨 一线,0,该评论仅提及“京剧猫”和“导轨一线”两个名词，未使用明显情感词汇或表达主观态度，属于陈述性内容，无明确情感倾向。
沈青竹,道诡我不行了,道诡我不行了,不行,-1,评论中的“我不行了”是网络用语，常用来表达无法承受、感到疲惫或挫败的情绪，带有明显的消极和无奈色彩，整体情感倾向为负面。
Dodomo,殷灵的那个嫁衣算不算,殷灵的那个嫁衣算不算,殷灵 嫁衣 算不算,0,该评论仅询问殷灵的嫁衣是否属于特定范畴，属于事实性提问，没有表达明显的情感倾向或主观评价，因此判断为中性。
时来运转,那我们戏神……？,那我们戏神,戏神,0,该评论仅提及“我们戏神”这一表述，未包含明显的情感词汇或评价性内容，属于对特定对象的简单提及，没有表达出明确的积极或消极态度，因此情感倾向为中性。
羊,京剧和云堇,京剧和云堇,京剧,0,该评论仅提及“京剧和云堇”两个名词，未表达明确的情感态度或评价性词汇，属于客观陈述，因此情感倾向为中性。
能不能让我把十日谷出了心好累,9也是好上了，带9玩激动啊啊啊！！！,也是好上了 带玩激动啊,激动,1,评论中“好上了”和“激动啊”表达了兴奋和喜悦的情绪，整体语气积极，显示出对事件或内容的强烈正面反应。
541,不敢笑我们今年高考化学就考了个纸哪吒,不敢笑我们今年高考化学就考了个纸哪吒,不敢 今年 高考 化学 哪吒,-1,评论通过“不敢笑”和“就考了个纸哪吒”表达了对高考化学试题内容的不满与无奈，带有明显的讽刺和抱怨情绪，整体情感倾向为负面。
菲愚（小猫）ik,渔女萌萌的,渔女萌萌的,渔女 萌萌,1,评论中使用了“萌萌的”这一网络流行语，表达了对渔女角色的喜爱和赞美，带有明显的积极情感色彩，整体情感倾向为正面。
苦茶仙人,bjm.是？,bjm 是,bjm,0,"该评论仅提及""bjm""这一缩写，未包含任何情感色彩词汇或明确态度表达，无法判断其情感倾向，属于中性陈述。"
荤素搭配，磕x家,哇哦，有我推！一个我看过，一个我玩那个游戏。,哇哦 有我推 一个我看过 一个我玩那个游戏,看过 那个游戏,1,评论中使用了“哇哦”等感叹词表达惊喜，并提到“有我推”和“看过/玩过”等积极互动，显示出对内容的熟悉和喜爱，整体情感倾向为正面。
以茸之名,居然带上了道诡,居然带上了道诡,居然 带上,1,评论中“居然带上了”表达出惊喜和意外的积极情绪，结合“道诡”这一具体作品名称，显示出对联动内容的认可与期待，整体情感倾向为正面。
STY-椋捻,带我们9玩就是好人,带我们玩就是好人,好人,1,该评论通过“带我们玩就是好人”的表达方式，将对方的行为与“好人”这一积极评价直接关联，隐含了感谢、认可和亲近的态度，整体情感倾向为正面。
申瑾,道…道诡异仙？,道 道诡异仙,诡异,0,该评论仅提及作品名称“道诡异仙”，没有表达任何个人情感或评价，属于客观陈述，无明显情感倾向。
Neflibata,傩面魈！！！！！！,傩面魈,傩面,0,该评论仅提及角色名称“傩面魈”，未表达任何情感色彩或评价性内容，属于单纯的事实陈述，因此情感倾向为中性。
AAA鸟屎批发厂,陈伶,陈伶,陈伶,0,该评论仅提及“陈伶”这一名称，未包含任何情感色彩词汇或表达个人态度，无法判断其正面或负面倾向，因此属于中性评论。
骑着大尸鳖去妖灵会馆偷九月泡面（小号）,盗墓笔记是二次元吗？（无恶意）不管有没有二次元非遗，永远不土,盗墓笔记是二次元吗 无恶意 不管有没有二次元非遗 永远不土,盗墓 笔记 二次元 恶意 有没有 二次元 非遗 永远 不土,0,该评论以疑问句开头探讨《盗墓笔记》的二次元属性，随后用“无恶意”表明中立立场，结尾“永远不土”虽带肯定语气但属于客观评价，整体未表达明显褒贬倾向。
liy_summer,我感觉傩面适合魈,我感觉傩面适合魈,傩面 适合,1,评论表达了用户对角色搭配的积极看法，使用“适合”一词表明认可与欣赏，整体语气平和但带有肯定倾向，属于正面情感表达。
白墨嫣尘,京剧猫，天官，涂山苏苏,京剧猫 天官 涂山苏苏,京剧 涂山 苏苏,0,该评论仅列举了三个作品或角色名称，没有表达任何主观评价或情感倾向，属于客观陈述信息，因此情感倾向为中性。
Libra 💫,苏苏！！！,苏苏,苏苏,0,该评论仅包含一个名字“苏苏”，没有表达明确的情感倾向或具体观点，无法判断其正面或负面情感，因此属于中性评论。
好人,！带1999玩的都是好宝宝,带玩的都是好宝宝,宝宝,1,该评论使用了“好宝宝”这一亲昵且带有赞赏意味的称呼，表达了友善、鼓励和肯定的态度。“带玩”一词也暗示了积极的互动和帮助行为，整体情感倾向为正面。
阿簇.,喜欢京剧猫,喜欢京剧猫,喜欢 京剧,1,该评论直接表达了对“京剧猫”的喜爱，使用“喜欢”这一明确表达积极情感的词汇，体现了用户对作品或角色的肯定和欣赏，整体情感倾向为正面。
暮归,为什么渔女不说话呀,为什么渔女不说话呀,渔女 说话,0,该评论仅询问渔女不说话的原因，表达的是好奇或疑问，没有明显的积极或消极情感词汇，属于中性提问。
落落,渔女那一段没有音频是因为鱼儿不会说话吗？,渔女那一段没有音频是因为鱼儿不会说话吗,渔女 一段 没有 音频 是因为 鱼儿 不会 说话,0,该评论以疑问形式提出对游戏内容的观察，语气较为客观，没有明显的积极或消极情绪表达。虽然带有轻微调侃意味，但整体属于对游戏设定的中性询问，不涉及强烈的情感倾向。
繁星不艳,走遍盗墓笔记，我是繁星不艳,走遍盗墓笔记 我是繁星不艳,走遍 盗墓 笔记 繁星 不艳,0,该评论仅陈述了用户ID和可能的游戏行为，没有表达明确的情感倾向或评价性词汇，属于中性陈述。
莫名高🐾,好可爱的吴邪,好可爱的吴邪,可爱 吴邪,1,该评论使用了“好可爱”这一积极词汇，直接表达了对吴邪角色的喜爱和赞赏，整体情感倾向明显为正面。
只想睡觉,啊啊啊啊啊天官赐福的别藏了,啊天官赐福的别藏了,天官赐福 别藏,0,该评论仅提及“天官赐福的别藏了”，未使用明显的情感词汇，可能是对作品或相关内容的提及或调侃，但未表达明确的好恶或情绪倾向，因此判断为中性。
爱爬树的鱼,傩戏也可以是沈难,傩戏也可以是沈难,傩戏 沈难,0,该评论仅提及“傩戏也可以是沈难”，属于对角色或内容的简单关联性陈述，未使用明显的情感词汇，也未表达明确的态度倾向，因此判断为中性情感。
阿尔古斯我将一辈子追随你,9竟然能出现两次,竟然能出现两次,出现 两次,0,该评论仅陈述了“竟然能出现两次”这一事实，没有使用明显的情感词汇，也未表达出明确的褒贬态度，因此整体情感倾向为中性。
双面君主sg,梁月！,梁月,梁月,0,该评论仅包含一个名字或称谓，没有表达任何具体观点或情感色彩，无法判断其情感倾向，因此属于中性评论。
伶宴,陈伶,陈伶,陈伶,0,该评论仅提及角色名称“陈伶”，未附加任何情感色彩或评价性词汇，无法推断出明确的情感倾向，因此属于中性表达。
汐玖.（落小姐的勾）,啊啊啊啊啊居然带狐妖玩！,啊居然带狐妖玩,居然 带狐,1,评论中“居然带狐妖玩”带有惊喜和愉悦的语气，表达了对联动内容的意外之喜和认可，整体情感倾向为正面。
『forest』遍野,哇哇哇，坐忘道们在吗？,哇 坐忘道们在吗,坐忘 道们,1,"评论中使用了""哇""这一感叹词表达惊喜或兴奋，并亲切地称呼""坐忘道们""，带有明显的友好和期待意味，整体情感倾向为正面。"
全网最嚣张周六嘿6661,😱居然有9,居然有,居然,0,该评论仅表达了惊讶或意外的情绪，使用了“居然有”这一中性表达，没有明显的正面或负面情感倾向，属于中性评论。
惏。,傩面，魈！,傩面 魈,傩面,0,"该评论仅提及游戏角色名称""傩面""和""魈""，未表达任何情感倾向或评价性内容，属于单纯的事实陈述，因此判断为中性情感。"
。,带1999！！！好人！！！！,带 好人,好人,1,评论中“带好人”是网络用语，意为“大好人”，带有明显的赞赏和感谢意味，表达了积极的情感倾向。
🧊,9你居然火了,你居然火了,居然,0,该评论仅陈述了“你居然火了”这一事实，没有使用明显的积极或消极词汇，也未表达明确的赞赏或批评态度，属于客观陈述，因此情感倾向为中性。
Cindy的房间,啊，吴邪宝宝好可爱啊,啊 吴邪宝宝好可爱啊,吴邪 宝宝 可爱,1,"评论中使用了""宝宝好可爱""这样的亲昵表达和积极词汇，明显表达了对角色吴邪的喜爱和赞赏，整体情感倾向为正面。"
七个勤天,老师还有我们家魈,老师还有我们家魈,老师 家魈,1,评论中提及“我们家魈”，使用了“我们家”这种亲昵称呼，表达了对角色“魈”的喜爱和归属感，整体语气亲切且带有积极情感，属于正面评价。
星辰本辰～,我觉得傩舞戏和原神魈挺配的吧……,我觉得傩舞戏和原神魈挺配的吧,舞戏 原神魈 挺配,1,该评论将傩舞戏与游戏角色“魈”进行关联比较，使用了“挺配的”这一积极表达，体现出对两者结合的认可和欣赏态度，整体情感倾向为正面。
洛希吃不吃小洛,老师cos的与渔女好还原,老师cos的与渔女好还原,老师 cos 渔女 还原,1,评论中使用了“好还原”这一积极评价词汇，表达了对老师cosplay角色还原度的认可和赞赏，整体情感倾向为正面。
透明蓝依,庄园人都出来吧。祝大家不出保底。,庄园人都出来吧 祝大家不出保底,庄园 出来 大家 保底,1,评论中“庄园人都出来吧”带有友好召唤的意味，“祝大家不出保底”表达了祝福玩家在游戏中获得好运的积极愿望，整体情感倾向为正面。
是审神者不是婶婶！,这个博主厉害，关注了,这个博主厉害 关注了,博主 厉害 关注,1,评论中使用了“厉害”这一积极词汇，表达了对博主能力的认可和赞赏，同时“关注了”表明用户采取了实际行动支持博主，整体情感倾向为正面。
Mask冉,天宫姐爬来了,天宫姐爬来了,天宫,0,该评论仅描述了“天宫姐爬来了”这一动作，没有使用明显的情感词汇或表达倾向性观点，属于客观陈述，因此情感倾向为中性。
一个青椒,京剧解雨臣,京剧解雨臣,京剧 解雨臣,0,该评论仅提及“京剧解雨臣”这一具体名称或角色，未使用任何情感色彩词汇，也没有表达个人态度或评价。内容属于客观陈述，没有明显的情感倾向，因此判断为中性。
暮归,带我们1999玩儿的都是好人,带我们玩儿的都是好人,玩儿 好人,1,评论中“好人”一词带有明显的积极评价色彩，表达了感谢和认可的态度。整体语气亲切，传达出对活动组织者或参与者的正面情感倾向。
道诡同人剧组导演,道诡异仙？,道诡异仙,诡异,0,该评论仅提及作品名称“道诡异仙”，未包含任何表达个人情感或评价的词汇，无法推断其情感倾向，因此属于中性陈述。
唐怜露,绒花真的很美，我们也做过,绒花真的很美 我们也做过,绒花,1,评论中“很美”表达了明确的赞美情感，后半句“我们也做过”带有分享和认同的意味，整体传递出对“绒花”的欣赏和积极态度，情感倾向为正面。
AAA书页批发商,渔渔真的很美,渔渔真的很美,渔渔,1,评论中使用了“很美”这一明确赞美性词汇，直接表达了对“渔渔”的欣赏和喜爱，情感积极且明确，整体倾向为正面。
千丝鹤,上上周刷到的？,上上周刷到的,上周,0,该评论仅陈述了“上上周刷到”这一事实，没有表达任何积极或消极的情绪，也没有对内容进行评价，属于客观陈述，因此情感倾向为中性。
此骑甚是权威（限流版）,老师傩面给魈！！！,老师傩面给魈,老师 傩面,0,该评论仅提及游戏角色和道具名称，没有表达明确的情感态度或评价性词汇，属于陈述性内容，无法判断正面或负面情感倾向。
念安.🐾,你竟然带了京剧猫！？,你竟然带了京剧猫,京剧,0,该评论仅陈述了对方携带京剧猫的事实，没有使用明显的情感词汇，也没有表达出赞赏、批评或任何情绪倾向，属于客观陈述的中性表达。
🉑,9也是站起来了🌚,也是站起来了,起来,1,评论中“站起来了”是网络流行语，通常用来表达从弱势或低谷状态中崛起、变得强大或成功的积极含义，带有自豪和鼓励的情感色彩，因此整体情感倾向为正面。
丞哥无处不在,我去 还有京剧猫,我去 还有京剧猫,京剧,1,评论中“我去”作为感叹词表达了惊喜情绪，“还有京剧猫”显示出对联动内容的意外发现和兴趣，整体语气积极，体现了对内容的喜爱和期待。
铃夕玉（墨苗铃、墨艺夕）,戏曲→解雨臣,戏曲 解雨臣,戏曲 解雨臣,0,该评论仅提及“戏曲”和“解雨臣”两个名词，未表达明确的情感态度或评价，属于陈述性内容，无积极或消极倾向，因此情感为中性。
夏颖是颗星,傩面可以联动东方幻游记,傩面可以联动东方幻游记,傩面 联动 东方 游记,1,该评论表达了希望游戏角色“傩面”与《东方幻游记》进行联动的期待，使用“可以联动”这一积极表述，体现了对联动可能性的支持和兴趣，整体情感倾向为正面。
小贝我的神,苏苏,苏苏,苏苏,0,该评论仅包含一个名字“苏苏”，没有表达任何情感倾向或评价性内容，属于中性陈述，无法判断正面或负面情感。
纤云绍星,让我突然想起京剧猫里面这个猫，也会那个非遗水袖,让我突然想起京剧猫里面这个猫 也会那个非遗水袖,突然 想起 京剧 里面 非遗 水袖,1,该评论通过联想京剧猫中的非遗水袖元素，表达了对文化内容的欣赏和兴趣，使用“想起”和“非遗”等中性偏积极的词汇，整体情感倾向为正面。
静月,狐妖小红娘,狐妖小红娘,红娘,0,该评论仅提及作品名称“狐妖小红娘”，未表达任何主观评价或情感倾向，属于中性陈述，无法判断正面或负面情感。
晚钟,我的天，梁月，曲娘，吴邪,我的天 梁月 曲娘 吴邪,梁月 曲娘 吴邪,1,评论中列举了多个角色名称，并用“我的天”表达惊喜和兴奋，这种感叹句式通常用于表达对喜爱内容的积极反应，整体情感倾向为正面。
不想吃水泥。,京剧ⅹ陈伶,京剧ⅹ陈伶,京剧 陈伶,0,该评论仅提及“京剧ⅹ陈伶”这一组合或联动名称，未使用任何带有情感色彩的词汇，也未表达明确的态度或评价，因此整体情感倾向为中性。
红营最后的希望,吴邪,吴邪,吴邪,0,该评论仅提及角色名称“吴邪”，未表达任何情感色彩或评价性内容，属于客观陈述，因此情感倾向为中性。
秉熄Bx,傩戏x魈,傩戏x魈,傩戏,0,该评论仅提及“傩戏x魈”这一组合或联动名称，未使用任何带有明显情感色彩的词汇，也未表达明确的喜好或评价。其内容仅为陈述性信息，因此整体情感倾向为中性。
芸芙散,戏曲×陈伶,戏曲 陈伶,戏曲 陈伶,0,该评论仅提及“戏曲”和“陈伶”两个名词，没有表达任何主观评价或情感色彩，属于陈述性内容，因此情感倾向为中性。
小K,你们可以试着跟猫之茗联动一下因为他们的衣服大多服饰都是汉服,你们可以试着跟猫之茗联动一下因为他们的衣服大多服饰都是汉服,试着 联动 衣服 大多 服饰 汉服,1,该评论以建议的口吻提出联动想法，使用“可以试着”等温和措辞，并强调“汉服”作为积极文化元素，表达了对联动可能性的期待与兴趣，整体情感倾向为正面。
西奥的裤衩,太好了，是吴邪，我们有救了,太好了 是吴邪 我们有救了,太好了 吴邪 有救,1,评论中使用了“太好了”这一强烈积极词汇，并表达“有救了”的喜悦和期待，整体传递出对角色出现的兴奋与正面肯定。
